# wavelength(um) transit_depth error
4.91064602e+01 3.06013951e-04 1.00000000e-05
4.91031867e+01 3.31988523e-04 1.00000000e-05
4.90999133e+01 3.17649194e-04 1.00000000e-05
4.90966402e+01 3.07528584e-04 1.00000000e-05
4.90933673e+01 3.32762275e-04 1.00000000e-05
4.90900947e+01 3.19569978e-04 1.00000000e-05
4.90868222e+01 3.12921614e-04 1.00000000e-05
4.90835500e+01 3.25449071e-04 1.00000000e-05
4.90802780e+01 3.16836202e-04 1.00000000e-05
4.90770062e+01 3.26354886e-04 1.00000000e-05
4.90737346e+01 3.34393874e-04 1.00000000e-05
4.90704632e+01 3.37161185e-04 1.00000000e-05
4.90671921e+01 3.41012193e-04 1.00000000e-05
4.90639211e+01 3.46852516e-04 1.00000000e-05
4.90606504e+01 3.12245702e-04 1.00000000e-05
4.90573799e+01 3.27809898e-04 1.00000000e-05
4.90541097e+01 3.24994737e-04 1.00000000e-05
4.90508396e+01 3.22988831e-04 1.00000000e-05
4.90475698e+01 3.25698844e-04 1.00000000e-05
4.90443001e+01 3.32912491e-04 1.00000000e-05
4.90410307e+01 3.28721571e-04 1.00000000e-05
4.90377616e+01 3.13229014e-04 1.00000000e-05
4.90344926e+01 3.34065784e-04 1.00000000e-05
